Price,Close,High,Low,Open,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Datetime,,,,,
2025-09-18 07:00:00+00:00,23614.0,23614.7890625,23557.810546875,23577.060546875,0
2025-09-18 07:15:00+00:00,23630.83984375,23656.349609375,23614.0,23614.0,0
2025-09-18 07:30:00+00:00,23592.599609375,23631.439453125,23582.69921875,23630.259765625,0
2025-09-18 07:45:00+00:00,23613.58984375,23622.880859375,23589.880859375,23592.419921875,0
2025-09-18 08:00:00+00:00,23637.580078125,23640.439453125,23582.259765625,23614.25,0
2025-09-18 08:15:00+00:00,23641.619140625,23645.740234375,23612.0,23637.580078125,0
2025-09-18 08:30:00+00:00,23665.380859375,23670.44921875,23639.990234375,23642.990234375,0
2025-09-18 08:45:00+00:00,23677.359375,23682.919921875,23664.369140625,23665.41015625,0
2025-09-18 09:00:00+00:00,23668.48046875,23690.470703125,23659.650390625,23677.359375,0
2025-09-18 09:15:00+00:00,23645.2109375,23678.05078125,23629.7109375,23668.390625,0
2025-09-18 09:30:00+00:00,23644.369140625,23662.41015625,23641.5390625,23645.2109375,0
2025-09-18 09:45:00+00:00,23620.1796875,23652.41015625,23619.150390625,23644.369140625,0
2025-09-18 10:00:00+00:00,23645.490234375,23651.560546875,23613.970703125,23620.130859375,0
2025-09-18 10:15:00+00:00,23649.640625,23650.580078125,23637.740234375,23645.490234375,0
2025-09-18 10:30:00+00:00,23636.8203125,23650.359375,23635.419921875,23649.669921875,0
2025-09-18 10:45:00+00:00,23619.76953125,23637.740234375,23609.560546875,23636.849609375,0
2025-09-18 11:00:00+00:00,23638.310546875,23648.490234375,23616.189453125,23619.76953125,0
2025-09-18 11:15:00+00:00,23653.51953125,23666.669921875,23631.650390625,23638.2890625,0
2025-09-18 11:30:00+00:00,23624.0390625,23663.98046875,23619.0390625,23653.55078125,0
2025-09-18 11:45:00+00:00,23637.19921875,23637.240234375,23619.740234375,23624.0390625,0
2025-09-18 12:00:00+00:00,23620.599609375,23637.19921875,23614.7890625,23637.19921875,0
2025-09-18 12:15:00+00:00,23627.5703125,23627.5703125,23599.5,23620.599609375,0
2025-09-18 12:30:00+00:00,23607.279296875,23631.009765625,23597.369140625,23627.5703125,0
2025-09-18 12:45:00+00:00,23629.7890625,23636.0390625,23600.26953125,23607.279296875,0
2025-09-18 13:00:00+00:00,23585.48046875,23629.80078125,23584.66015625,23629.80078125,0
2025-09-18 13:15:00+00:00,23578.75,23595.400390625,23570.919921875,23585.48046875,0
2025-09-18 13:30:00+00:00,23599.4609375,23605.599609375,23573.98046875,23576.7109375,0
2025-09-18 13:45:00+00:00,23608.30078125,23623.5,23580.16015625,23596.880859375,0
2025-09-18 14:00:00+00:00,23632.73046875,23637.83984375,23607.830078125,23611.7890625,0
2025-09-18 14:15:00+00:00,23664.830078125,23677.609375,23631.419921875,23632.73046875,0
2025-09-18 14:30:00+00:00,23631.849609375,23684.380859375,23631.150390625,23664.830078125,0
2025-09-18 14:45:00+00:00,23625.990234375,23652.689453125,23614.8203125,23631.720703125,0
2025-09-18 15:00:00+00:00,23634.869140625,23635.08984375,23608.970703125,23626.939453125,0
2025-09-18 15:15:00+00:00,23670.08984375,23679.580078125,23634.919921875,23635.16015625,0
2025-09-19 07:00:00+00:00,23671.359375,23724.439453125,23668.41015625,23723.33984375,0
2025-09-19 07:15:00+00:00,23702.890625,23707.109375,23667.140625,23671.169921875,0
2025-09-19 07:30:00+00:00,23726.5,23728.830078125,23694.810546875,23702.869140625,0
2025-09-19 07:45:00+00:00,23747.650390625,23754.55078125,23721.509765625,23726.9609375,0
2025-09-19 08:00:00+00:00,23777.669921875,23785.240234375,23747.650390625,23747.650390625,0
2025-09-19 08:15:00+00:00,23751.099609375,23779.900390625,23751.099609375,23777.669921875,0
2025-09-19 08:30:00+00:00,23733.51953125,23756.01953125,23732.380859375,23750.619140625,0
2025-09-19 08:45:00+00:00,23715.900390625,23743.560546875,23703.5703125,23733.51953125,0
2025-09-19 09:00:00+00:00,23686.5390625,23716.16015625,23683.369140625,23715.900390625,0
2025-09-19 09:15:00+00:00,23707.189453125,23715.130859375,23681.869140625,23685.859375,0
2025-09-19 09:30:00+00:00,23671.349609375,23723.720703125,23670.810546875,23707.58984375,0
2025-09-19 09:45:00+00:00,23634.009765625,23676.23046875,23631.2890625,23671.91015625,0
2025-09-19 10:00:00+00:00,23627.630859375,23636.490234375,23605.16015625,23635.2890625,0
2025-09-19 10:15:00+00:00,23620.91015625,23634.30078125,23606.400390625,23627.529296875,0
2025-09-19 10:30:00+00:00,23639.279296875,23641.259765625,23610.189453125,23620.359375,0
2025-09-19 10:45:00+00:00,23628.720703125,23643.76953125,23622.3203125,23639.279296875,0
2025-09-19 11:00:00+00:00,23627.599609375,23644.439453125,23622.970703125,23628.720703125,0
2025-09-19 11:15:00+00:00,23622.439453125,23638.9296875,23614.4609375,23626.91015625,0
2025-09-19 11:30:00+00:00,23605.66015625,23622.1796875,23599.259765625,23622.16015625,0
2025-09-19 11:45:00+00:00,23630.359375,23635.279296875,23606.509765625,23606.509765625,0
2025-09-19 12:00:00+00:00,23661.439453125,23664.3203125,23627.599609375,23630.359375,0
2025-09-19 12:15:00+00:00,23644.1796875,23665.16015625,23640.5703125,23661.759765625,0
2025-09-19 12:30:00+00:00,23649.2890625,23649.2890625,23632.119140625,23644.099609375,0
2025-09-19 12:45:00+00:00,23660.619140625,23667.240234375,23648.0,23649.2890625,0
2025-09-19 13:00:00+00:00,23676.83984375,23684.970703125,23660.119140625,23661.30078125,0
2025-09-19 13:15:00+00:00,23667.509765625,23688.19921875,23665.470703125,23677.400390625,0
2025-09-19 13:30:00+00:00,23655.130859375,23680.080078125,23655.130859375,23667.05078125,0
2025-09-19 13:45:00+00:00,23670.73046875,23670.73046875,23645.919921875,23654.939453125,0
2025-09-19 14:00:00+00:00,23676.859375,23683.880859375,23655.880859375,23668.51953125,0
2025-09-19 14:15:00+00:00,23665.310546875,23679.51953125,23662.759765625,23676.859375,0
2025-09-19 14:30:00+00:00,23661.240234375,23687.359375,23659.08984375,23665.33984375,0
2025-09-19 14:45:00+00:00,23669.419921875,23691.75,23654.220703125,23661.330078125,0
2025-09-19 15:00:00+00:00,23645.439453125,23677.119140625,23634.66015625,23669.419921875,0
2025-09-19 15:15:00+00:00,23647.0703125,23660.189453125,23640.830078125,23645.5703125,0
2025-09-22 07:00:00+00:00,23522.189453125,23589.25,23521.470703125,23567.490234375,0
2025-09-22 07:15:00+00:00,23483.109375,23523.33984375,23480.48046875,23522.240234375,0
2025-09-22 07:30:00+00:00,23505.9296875,23522.259765625,23483.380859375,23483.380859375,0
2025-09-22 07:45:00+00:00,23516.23046875,23517.7109375,23469.30078125,23506.48046875,0
2025-09-22 08:00:00+00:00,23535.51953125,23538.51953125,23514.369140625,23516.23046875,0
2025-09-22 08:15:00+00:00,23524.5390625,23543.91015625,23520.880859375,23535.51953125,0
2025-09-22 08:30:00+00:00,23533.150390625,23544.830078125,23519.16015625,23524.5703125,0
2025-09-22 08:45:00+00:00,23501.869140625,23534.109375,23498.94921875,23532.869140625,0
2025-09-22 09:00:00+00:00,23463.859375,23519.5,23463.2890625,23501.869140625,0
2025-09-22 09:15:00+00:00,23460.130859375,23480.939453125,23447.2890625,23463.759765625,0
2025-09-22 09:30:00+00:00,23457.3203125,23466.76953125,23450.009765625,23460.130859375,0
2025-09-22 09:45:00+00:00,23433.01953125,23458.779296875,23429.759765625,23457.3203125,0
2025-09-22 10:00:00+00:00,23469.80078125,23470.990234375,23424.439453125,23432.48046875,0
2025-09-22 10:15:00+00:00,23489.150390625,23494.470703125,23467.349609375,23469.80078125,0
2025-09-22 10:30:00+00:00,23492.810546875,23511.0390625,23489.150390625,23489.150390625,0
2025-09-22 10:45:00+00:00,23486.130859375,23495.51953125,23478.4609375,23492.810546875,0
2025-09-22 11:00:00+00:00,23463.669921875,23487.5390625,23459.310546875,23484.490234375,0
2025-09-22 11:15:00+00:00,23494.26953125,23495.720703125,23463.080078125,23463.669921875,0
2025-09-22 11:30:00+00:00,23500.58984375,23507.33984375,23490.630859375,23494.4609375,0
2025-09-22 11:45:00+00:00,23486.80078125,23501.2890625,23476.849609375,23500.58984375,0
2025-09-22 12:00:00+00:00,23508.529296875,23516.470703125,23481.51953125,23486.80078125,0
2025-09-22 12:15:00+00:00,23519.830078125,23526.890625,23508.169921875,23508.619140625,0
2025-09-22 12:30:00+00:00,23507.650390625,23527.060546875,23502.650390625,23520.009765625,0
2025-09-22 12:45:00+00:00,23497.69921875,23515.01953125,23489.4609375,23508.060546875,0
2025-09-22 13:00:00+00:00,23478.810546875,23502.560546875,23477.76953125,23497.69921875,0
2025-09-22 13:15:00+00:00,23472.7109375,23482.509765625,23471.5390625,23478.609375,0
2025-09-22 13:30:00+00:00,23462.169921875,23486.2890625,23462.140625,23468.939453125,0
2025-09-22 13:45:00+00:00,23506.8203125,23506.8203125,23458.23046875,23462.080078125,0
2025-09-22 14:00:00+00:00,23470.279296875,23504.0390625,23469.720703125,23504.0390625,0
2025-09-22 14:15:00+00:00,23470.9296875,23483.98046875,23468.33984375,23470.279296875,0
2025-09-22 14:30:00+00:00,23490.310546875,23490.720703125,23467.55078125,23470.849609375,0
2025-09-22 14:45:00+00:00,23501.369140625,23513.259765625,23485.55078125,23490.310546875,0
2025-09-22 15:00:00+00:00,23507.740234375,23516.970703125,23500.109375,23501.859375,0
2025-09-22 15:15:00+00:00,23535.439453125,23535.990234375,23503.259765625,23507.740234375,0
2025-09-23 07:00:00+00:00,23644.83984375,23656.91015625,23597.369140625,23604.359375,0
2025-09-23 07:15:00+00:00,23645.19921875,23663.69921875,23623.220703125,23644.83984375,0
2025-09-23 07:30:00+00:00,23662.470703125,23668.630859375,23639.94921875,23644.58984375,0
2025-09-23 07:45:00+00:00,23632.599609375,23665.80078125,23627.2890625,23662.470703125,0
2025-09-23 08:00:00+00:00,23654.109375,23659.4296875,23630.01953125,23632.599609375,0
2025-09-23 08:15:00+00:00,23672.0,23690.279296875,23653.25,23655.0,0
2025-09-23 08:30:00+00:00,23695.869140625,23699.859375,23657.5703125,23671.859375,0
2025-09-23 08:45:00+00:00,23706.9609375,23723.19921875,23694.7890625,23695.869140625,0
2025-09-23 09:00:00+00:00,23705.48046875,23708.7890625,23685.26953125,23706.9609375,0
2025-09-23 09:15:00+00:00,23693.25,23711.380859375,23693.25,23706.0703125,0
2025-09-23 09:30:00+00:00,23677.220703125,23697.240234375,23674.859375,23693.310546875,0
2025-09-23 09:45:00+00:00,23661.109375,23676.939453125,23655.30078125,23676.939453125,0
2025-09-23 10:00:00+00:00,23610.890625,23662.19921875,23606.330078125,23661.109375,0
2025-09-23 10:15:00+00:00,23583.69921875,23610.94921875,23579.220703125,23610.94921875,0
2025-09-23 10:30:00+00:00,23571.609375,23588.8203125,23567.779296875,23583.69921875,0
2025-09-23 10:45:00+00:00,23590.859375,23594.130859375,23564.970703125,23571.609375,0
2025-09-23 11:00:00+00:00,23604.029296875,23605.720703125,23580.0,23590.859375,0
2025-09-23 11:15:00+00:00,23592.859375,23605.0703125,23592.0703125,23604.029296875,0
2025-09-23 11:30:00+00:00,23591.73046875,23601.080078125,23579.990234375,23592.859375,0
2025-09-23 11:45:00+00:00,23614.98046875,23614.98046875,23590.66015625,23591.689453125,0
2025-09-23 12:00:00+00:00,23617.08984375,23623.060546875,23609.560546875,23614.98046875,0
2025-09-23 12:15:00+00:00,23635.529296875,23643.51953125,23617.080078125,23617.51953125,0
2025-09-23 12:30:00+00:00,23631.029296875,23641.6796875,23627.4296875,23635.529296875,0
2025-09-23 12:45:00+00:00,23644.19921875,23648.580078125,23629.349609375,23631.029296875,0
2025-09-23 13:00:00+00:00,23634.279296875,23646.5703125,23626.26953125,23644.19921875,0
2025-09-23 13:15:00+00:00,23631.060546875,23637.1796875,23619.509765625,23634.279296875,0
2025-09-23 13:30:00+00:00,23659.369140625,23672.060546875,23619.2109375,23629.900390625,0
2025-09-23 13:45:00+00:00,23663.5,23685.3203125,23659.369140625,23659.369140625,0
2025-09-23 14:00:00+00:00,23645.189453125,23663.890625,23626.4296875,23662.369140625,0
2025-09-23 14:15:00+00:00,23654.220703125,23660.810546875,23640.080078125,23645.189453125,0
2025-09-23 14:30:00+00:00,23663.890625,23667.4296875,23645.810546875,23654.220703125,0
2025-09-23 14:45:00+00:00,23670.05078125,23675.630859375,23657.1796875,23663.890625,0
2025-09-23 15:00:00+00:00,23636.919921875,23669.5703125,23627.740234375,23669.5703125,0
2025-09-23 15:15:00+00:00,23630.740234375,23651.009765625,23626.619140625,23636.919921875,0
2025-09-24 07:00:00+00:00,23538.919921875,23611.150390625,23537.30078125,23601.5,0
2025-09-24 07:15:00+00:00,23517.109375,23545.41015625,23515.279296875,23539.560546875,0
2025-09-24 07:30:00+00:00,23544.94921875,23549.9609375,23499.98046875,23517.060546875,0
2025-09-24 07:45:00+00:00,23593.5390625,23596.060546875,23544.869140625,23544.94921875,0
2025-09-24 08:00:00+00:00,23597.7109375,23609.48046875,23583.099609375,23593.580078125,0
2025-09-24 08:15:00+00:00,23590.029296875,23603.849609375,23586.6796875,23597.7109375,0
2025-09-24 08:30:00+00:00,23592.3203125,23602.9609375,23584.4296875,23590.029296875,0
2025-09-24 08:45:00+00:00,23589.48046875,23606.330078125,23587.169921875,23592.509765625,0
2025-09-24 09:00:00+00:00,23571.5,23589.48046875,23559.0,23589.48046875,0
2025-09-24 09:15:00+00:00,23575.830078125,23584.4296875,23567.0703125,23571.5,0
2025-09-24 09:30:00+00:00,23568.48046875,23578.009765625,23562.380859375,23575.830078125,0
2025-09-24 09:45:00+00:00,23579.720703125,23586.2109375,23568.390625,23568.73046875,0
2025-09-24 10:00:00+00:00,23584.380859375,23585.80078125,23564.259765625,23579.490234375,0
2025-09-24 10:15:00+00:00,23585.509765625,23595.369140625,23582.529296875,23584.380859375,0
2025-09-24 10:30:00+00:00,23586.01953125,23588.509765625,23576.8203125,23585.359375,0
2025-09-24 10:45:00+00:00,23594.740234375,23612.279296875,23586.01953125,23586.01953125,0
2025-09-24 11:00:00+00:00,23587.060546875,23608.26953125,23581.779296875,23594.8203125,0
2025-09-24 11:15:00+00:00,23559.310546875,23587.560546875,23559.310546875,23586.689453125,0
2025-09-24 11:30:00+00:00,23557.609375,23562.359375,23545.869140625,23559.310546875,0
2025-09-24 11:45:00+00:00,23612.060546875,23612.109375,23556.5390625,23557.599609375,0
2025-09-24 12:00:00+00:00,23645.119140625,23658.259765625,23609.869140625,23611.330078125,0
2025-09-24 12:15:00+00:00,23648.740234375,23653.919921875,23631.859375,23645.119140625,0
2025-09-24 12:30:00+00:00,23645.869140625,23657.650390625,23640.75,23649.41015625,0
2025-09-24 12:45:00+00:00,23622.369140625,23648.150390625,23616.83984375,23646.41015625,0
2025-09-24 13:00:00+00:00,23663.58984375,23675.05078125,23620.580078125,23622.369140625,0
2025-09-24 13:15:00+00:00,23672.2890625,23682.51953125,23663.4296875,23663.51953125,0
2025-09-24 13:30:00+00:00,23679.69921875,23695.69921875,23665.69921875,23671.900390625,0
2025-09-24 13:45:00+00:00,23651.599609375,23685.48046875,23643.419921875,23680.080078125,0
2025-09-24 14:00:00+00:00,23675.349609375,23676.369140625,23641.5390625,23653.98046875,0
2025-09-24 14:15:00+00:00,23691.369140625,23693.259765625,23667.419921875,23675.349609375,0
2025-09-24 14:30:00+00:00,23726.080078125,23736.599609375,23691.369140625,23691.369140625,0
2025-09-24 14:45:00+00:00,23699.48046875,23725.609375,23695.33984375,23725.609375,0
2025-09-24 15:00:00+00:00,23683.419921875,23702.859375,23678.69921875,23700.740234375,0
2025-09-24 15:15:00+00:00,23682.2890625,23704.58984375,23672.9296875,23683.5,0
